,"(('Batterie', 'Strom'), 'flow')","(('Biogas', 'Strom'), 'flow')","(('Biomasse_Strom', 'Strom'), 'flow')","(('GuD', 'Strom'), 'flow')","(('Import_Strom', 'Strom'), 'flow')","(('PV_Aufdach_Erfurt', 'Strom'), 'flow')","(('PV_Aufdach_Gera', 'Strom'), 'flow')","(('PV_Aufdach_Hildburghausen', 'Strom'), 'flow')","(('PV_Aufdach_Nordhausen', 'Strom'), 'flow')","(('PV_Freifeld_Erfurt', 'Strom'), 'flow')","(('PV_Freifeld_Gera', 'Strom'), 'flow')","(('PV_Freifeld_Hildburghausen', 'Strom'), 'flow')","(('PV_Freifeld_Nordhausen', 'Strom'), 'flow')","(('Pumpspeicherkraftwerk', 'Strom'), 'flow')","(('Strom', 'Batterie'), 'flow')","(('Strom', 'Elektrodenheizkessel'), 'flow')","(('Strom', 'Elektrolyse'), 'flow')","(('Strom', 'Export_Strom'), 'flow')","(('Strom', 'Last_Strom_ges'), 'flow')","(('Strom', 'Pumpspeicherkraftwerk'), 'flow')","(('Strom', 'Waermepumpe_Abwaerme'), 'flow')","(('Strom', 'Waermepumpe_Fluss'), 'flow')","(('Strom', 'excess_b_el2'), 'flow')","(('Wasserkraft', 'Strom'), 'flow')","(('Wind_Erfurt', 'Strom'), 'flow')","(('Wind_Gera', 'Strom'), 'flow')","(('Wind_Hildburghausen', 'Strom'), 'flow')","(('Wind_Nordhausen', 'Strom'), 'flow')","(('brezel', 'Strom'), 'flow')"
2030-01-01 00:00:00,"348,0557809878592","120,8075091324201","0,0","332,31297687190096","364,1061998063701","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","366,6666666666667","0,0","1138,5253136748108","0,0","0,0","0,0","0,0","24,8","56,45087332543776","122,85004905539476","89,73217192664097","46,076419235453976","0,0"
2030-01-01 01:00:00,"0,0","120,8075091324201","0,0","332,31297687190096","811,0725442003206","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","366,6666666666667","0,0","1085,4479850641383","0,0","0,0","0,0","0,0","24,8","22,232158728848923","58,89741615034969","62,090500830340055","19,901545816624804","0,0"
2030-01-01 02:00:00,"0,0","120,8075091324201","0,0","332,31297687190096","803,0348842479043","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","366,6666666666667","0,0","1026,8690680864095","0,0","0,0","0,0","0,0","24,8","10,284841131437435","41,12336822734067","50,13981922374855","11,032335918324346","0,0"
2030-01-01 03:00:00,"0,0","120,8075091324201","0,0","332,31297687190096","716,439379896319","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","366,6666666666667","0,0","995,9243751515545","0,0","0,0","0,0","0,0","24,8","22,49448291527316","66,23503160363926","58,17623602250898","21,325425376159863","0,0"
2030-01-01 04:00:00,"0,0","120,8075091324201","0,0","332,31297687190096","719,0430331346656","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","366,6666666666667","0,0","1000,5557883974004","0,0","0,0","0,0","0,0","24,8","28,278530947256822","60,26718015053772","56,58343269302493","25,12979213426091","0,0"
2030-01-01 05:00:00,"0,0","120,8075091324201","0,0","332,31297687190096","762,4635823148333","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","366,6666666666667","0,0","1110,1633559705542","0,0","0,0","0,0","0,0","24,8","38,449090616363115","86,5162537640998","75,61159179588152","35,869018141722194","0,0"
2030-01-01 06:00:00,"0,0","120,8075091324201","0,0","332,31297687190096","888,6544867619582","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","366,6666666666667","0,0","1174,8874532356676","0,0","0,0","0,0","0,0","24,8","27,935032589090827","59,193778841558085","61,86185768918141","25,988478016225088","0,0"
2030-01-01 07:00:00,"0,0","120,8075091324201","0,0","332,31297687190096","738,9875169455688","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","366,6666666666667","0,0","1208,108339961841","0,0","0,0","0,0","0,0","24,8","71,7206914629015","126,17573915484355","94,36791102862868","65,60266203224438","0,0"
2030-01-01 08:00:00,"0,0","120,8075091324201","0,0","332,31297687190096","820,0330280946805","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","366,6666666666667","0,0","1309,8638592373977","0,0","0,0","0,0","0,0","24,8","76,74891231268563","130,57327432082954","102,06635905369612","69,18846611785166","0,0"
2030-01-01 09:00:00,"0,0","120,8075091324201","0,0","332,31297687190096","0,0","0,0","0,0","0,0","0,0","117,02819154751847","17,56844546953835","0,0","108,58983233997444","0,0","107,13926026437144","0,0","366,6666666666667","0,0","1449,3939234206596","72,96454063046076","0,0","0,0","0,0","24,8","358,9291349582335","436,93536452352697","209,3988346098173","269,7941015292286","0,0"
